time;gFx;gFy;gFz;TgF
11,538;0,0771;0,1534;0,9421;0,958
11,555;0,0701;0,1583;0,94;0,956
11,571;0,0648;0,1602;0,9366;0,952
11,602;0,0744;0,16;0,9362;0,953
11,622;0,0768;0,155;0,9362;0,952
11,634;0,0706;0,1536;0,935;0,95
11,652;0,0666;0,1595;0,9394;0,955
11,684;0,0685;0,1641;0,9441;0,961
11,702;0,0761;0,1588;0,946;0,962
11,722;0,072;0,1489;0,946;0,96
11,728;0,0722;0,1504;0,9498;0,964
11,76;0,073;0,1548;0,9503;0,966
11,781;0,0771;0,1563;0,9498;0,966
11,792;0,0735;0,1578;0,9448;0,961
11,824;0,0643;0,1579;0,9442;0,96
11,863;0,0644;0,153;0,9473;0,962
11,867;0,0707;0,152;0,9424;0,957
11,875;0,0671;0,1555;0,9384;0,954
11,907;0,0666;0,1661;0,9359;0,953
11,919;0,0699;0,1636;0,9326;0,949
11,936;0,075;0,1602;0,9317;0,948
11,95;0,0742;0,164;0,938;0,955
11,981;0,0765;0,1607;0,9147;0,932
12;0,072;0,1701;0,8248;0,845
12,017;0,0456;0,2064;0,5716;0,609
12,047;0,0325;0,1389;0,3089;0,34
12,061;0,0279;0,048;0,1216;0,134
12,077;0,0234;0,0598;0,0794;0,102
12,092;0,0143;0,0588;0,0689;0,092
12,131;0,0049;0,0679;0,0796;0,105
12,15;0,0258;0,038;0,0734;0,087
12,155;0,0086;0,0403;0,0383;0,056
12,172;0,0037;0,0334;0,0371;0,05
12,203;0,0014;0,0357;0,0415;0,055
12,219;0,0009;0,0332;0,0459;0,057
12,235;0,0019;0,0336;0,0519;0,062
12,267;0,0019;0,0333;0,061;0,069
12,282;0,0051;0,0339;0,0723;0,08
12,298;0,01;0,0301;0,0797;0,086
12,315;0,0167;0,0276;0,0905;0,096
